[2026-04-10 20:26:29] [OHD]  START PROCESS_QUARANTINE | targets=GHOST_SWEEP_ORPHAN_SWEEP_2d_games, GHOST_SWEEP_ORPHAN_SWEEP_3d_games, oma_test.log, OmniClaw Ecosystem Sanitization Hardening.md, omniclaw.bat (count=28)
[2026-04-10 20:30:34] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:31:04] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:31:04] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:31:35] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:31:35] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:32:05] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:32:05] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:32:35] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:32:35] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:33:05] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:33:05] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:33:36] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:33:36] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:34:06] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_48aea028-e32b-4a00-86e2-32e46d33fcd2, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources (count=6)
[2026-04-10 20:34:07] [OHD]  OK END PROCESS_QUARANTINE | success=4 failed=0 skipped=2
[2026-04-10 20:34:37] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:34:37] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:35:07] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:35:07] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:35:37] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:35:37] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:36:08] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:36:08] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:36:38] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:36:39] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:37:09] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:37:09] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:37:39] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:37:39] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:38:10] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:38:10] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:38:40] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:38:40] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:39:10] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:39:11] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:39:41] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:39:41] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:40:11] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:40:11] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:40:42] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:40:42] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:41:12] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:41:12] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:41:43] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:41:43] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:42:13] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:42:13] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:42:43] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:42:43] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:43:13] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:43:13] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:43:44] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:43:46] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:44:17] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:44:17] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:44:47] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:44:47] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:45:17] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:45:17] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:45:47] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:45:47] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:46:18] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:46:18] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:46:48] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:46:48] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:47:19] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:47:19] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:47:49] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:47:49] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:48:19] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:48:19] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:48:50] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:48:50] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:49:20] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:49:20] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:49:50] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:49:50] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:50:20] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:50:20] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:50:51] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:50:51] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:51:21] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:51:21] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:51:51] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:51:51] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:52:22] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:52:22] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:52:52] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:52:52] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:53:22] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:53:23] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:53:53] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:53:53] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:54:23] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:54:23] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:54:53] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:54:53] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:55:24] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:55:24] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:55:54] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:55:54] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:56:24] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:56:24] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:56:55] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:56:55] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:57:25] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:57:25] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:57:55] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:57:55] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:58:26] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:58:26] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:58:56] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:58:56] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:59:26] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:59:26] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:59:56] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:59:56] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:00:27] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 21:00:27] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 21:00:57] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:00:57] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:01:28] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:01:28] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:01:58] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:01:58] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:02:28] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:02:28] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:02:58] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 21:02:59] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 21:03:29] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:03:29] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:03:59] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:03:59] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:04:29] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:04:29] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:05:00] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:05:00] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:05:30] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 21:05:31] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 21:06:01] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:06:01] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:06:31] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:06:31] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:07:01] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:07:01] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:07:32] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 21:07:33] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 21:08:03] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:08:03] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:08:33] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:08:33] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:09:03] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:09:04] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:09:34] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:09:34] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:10:04] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 21:10:04] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 21:10:34] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:10:35] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:11:05] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:11:05] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:11:35] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:11:35] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:12:05] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:12:05] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:12:36] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 21:12:36] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 21:13:06] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:13:06] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:13:36] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:13:36] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:14:06] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:14:06] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:14:37] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 21:14:37] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 21:15:08] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:15:08] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:15:38] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:15:38] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:16:09] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:16:09] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:16:39] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:16:39] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:17:09] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 21:17:10] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 21:17:40] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:17:40] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:18:10] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:18:10] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:18:41] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:18:41] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:19:11] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:19:11] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:19:41] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 21:19:42] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 21:20:12] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:20:12] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:20:42] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:20:42] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:21:12] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:21:12] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:21:43] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 21:21:43] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 21:22:13] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 21:22:13] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
